latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.6097565,-58.37273245,137.163,0.7771,"POLYGON((-58.3726862870237 -34.6098345100679, -58.3726938558099 -34.609675731466, -58.3727786133432 -34.6096784933544, -58.3727710447186 -34.6098372719576, -58.3726862870237 -34.6098345100679))",48Q39JRG+3WRP
-34.60331185,-58.3882907,23.7655,0.6978,"POLYGON((-58.3882617432414 -34.6033316833177, -58.3882655413036 -34.6032887502626, -58.3883196431903 -34.6032920225169, -58.3883158451554 -34.603334955573, -58.3882617432414 -34.6033316833177))",48Q39JW6+MMGG
-34.60667276,-58.38346319,214.7212,0.7673,"POLYGON((-58.3834292 -34.6067809, -58.3834344 -34.6066432, -58.3833633 -34.6066414, -58.3833653 -34.6065867, -58.3835258 -34.6065908, -58.3835186 -34.6067831, -58.3834292 -34.6067809))",48Q39JV8+8JM2
-34.606241,-58.37975464,218.6224,0.8731,"POLYGON((-58.379693575366 -34.6063442145165, -58.3797158391346 -34.6061306718606, -58.3798156973167 -34.6061377894079, -58.3797934338032 -34.6063513320758, -58.379693575366 -34.6063442145165))",48Q39JVC+G359
-34.60262183,-58.37820552,58.4525,0.716,"POLYGON((-58.3781694893224 -34.6026622967781, -58.3781717707188 -34.6025800435352, -58.3782415605711 -34.6025813669833, -58.3782392792435 -34.6026636202251, -58.3781694893224 -34.6026622967781))",48Q39JWC+XP33
-34.60833635,-58.38813391,63.247,0.746,"POLYGON((-58.3880901764273 -34.6083719895595, -58.3880934406376 -34.6083085010769, -58.3881106047111 -34.6083091043524, -58.3881116691156 -34.6082884017225, -58.3881498099617 -34.6082897422723, -58.3881487455667 -34.608310444902, -58.3881787184874 -34.6083114983621, -58.3881754543418 -34.6083749868454, -58.3880901764273 -34.6083719895595))",48Q39JR6+MP9G
-34.59832807,-58.37808724,98.8826,0.7926,"POLYGON((-58.3780329103463 -34.5983771885701, -58.3780398450582 -34.5982800032267, -58.3781488055435 -34.5982853195488, -58.3781442369282 -34.5983493468289, -58.3781168677763 -34.5983480114629, -58.3781145017955 -34.5983811695285, -58.3780329103463 -34.5983771885701))",48Q3CJ2C+MQ7R
-34.6052229,-58.38372188,223.4047,0.8734,"POLYGON((-58.3836522667325 -34.6053049032611, -58.383661983016 -34.6051358006997, -58.3837915059734 -34.6051408885798, -58.3837817899523 -34.6053099911486, -58.3836522667325 -34.6053049032611))",48Q39JV8+WG65
-34.61235985,-58.37987457,152.5692,0.8258,"POLYGON((-58.3798150712273 -34.6124249909036, -58.3798231257456 -34.6122901666815, -58.3799340590276 -34.6122946966927, -58.3799260046888 -34.6124295209177, -58.3798150712273 -34.6124249909036))",48Q39JQC+332J
-34.60367247,-58.37611937,35.1448,0.739,"POLYGON((-58.3760883518048 -34.6037011719924, -58.376094174412 -34.6036401113799, -58.376150380683 -34.6036437757702, -58.3761445581169 -34.6037048363845, -58.3760883518048 -34.6037011719924))",48Q39JWF+GHJ2
-34.60964301,-58.38368834,703.0586,0.8053,"POLYGON((-58.3834749 -34.6097097, -58.3834878 -34.6095337, -58.3837699 -34.6095478, -58.3837641 -34.6096262, -58.3839609 -34.6096361, -58.3839567 -34.6096932, -58.3839538 -34.6097336, -58.3834749 -34.6097097))",48Q39JR8+4GV9
-34.59807017,-58.37818565,206.2742,0.7528,"POLYGON((-58.3781278967129 -34.5981636835595, -58.3781372307907 -34.5979731034291, -58.3782434008017 -34.5979766590186, -58.3782340669661 -34.5981672391511, -58.3781278967129 -34.5981636835595))",48Q3CJ2C+QPG2
-34.60831764,-58.37552279,4.4072,0.6897,"POLYGON((-58.3755150645597 -34.6083364975213, -58.3755193363092 -34.6082979447625, -58.375530476083 -34.6082987885625, -58.3755262043387 -34.6083373413215, -58.3755150645597 -34.6083364975213))",48Q39JRF+MQH7
-34.61150608,-58.3895467,495.1749,0.7691,"POLYGON((-58.3894477804036 -34.6116354204578, -58.3894629645885 -34.6113696049483, -58.3896456177245 -34.611376736923, -58.3896304341225 -34.611642552441, -58.3894477804036 -34.6116354204578))",48Q39JQ6+95WP
-34.60855688,-58.37573111,62.0114,0.7404,"POLYGON((-58.3756887627383 -34.6085935854744, -58.3756962105038 -34.6085151646915, -58.3757734380866 -34.6085201785924, -58.3757659903938 -34.6085985993784, -58.3756887627383 -34.6085935854744))",48Q39JRF+HPCP
-34.60761994,-58.37936021,359.9476,0.8726,"POLYGON((-58.3792237421755 -34.6076808029185, -58.3792323993233 -34.607547348624, -58.3794966740198 -34.607559068089, -58.3794880172936 -34.6076925223953, -58.3792237421755 -34.6076808029185))",48Q39JRC+X727
-34.60258274,-58.3877701,136.7706,0.67,"POLYGON((-58.3877421 -34.6026677, -58.387713 -34.60253, -58.3877433 -34.6025256, -58.3877362 -34.6024921, -58.3877822 -34.6024854, -58.3878029 -34.6025833, -58.3878487 -34.6025767, -58.3878533 -34.6025983, -58.3878075 -34.602605, -58.3878184 -34.6026566, -58.3877421 -34.6026677))",48Q39JW6+XV9M
-34.60713186,-58.38713471,254.7917,0.902,"POLYGON((-58.3870459794374 -34.6072024354917, -58.3870538236134 -34.6070551127197, -58.3872234402073 -34.6070612866723, -58.3872155963292 -34.607208609448, -58.3870459794374 -34.6072024354917))",48Q39JV7+44XP
-34.60388477,-58.37283239,218.4818,0.7999,"POLYGON((-58.3727895497362 -34.6039687096748, -58.3727945403847 -34.6039062645211, -58.3727279979129 -34.6039026285652, -58.3727311780076 -34.6038628382044, -58.3727689387315 -34.6038649014983, -58.3727738133932 -34.603803907764, -58.3729065680971 -34.6038111615584, -58.3728935229495 -34.6039743908145, -58.3727895497362 -34.6039687096748))",48Q39JWG+CVVM
-34.59628094,-58.38829032,83.1981,0.6968,"POLYGON((-58.3882536684744 -34.5963430588922, -58.3882630659616 -34.5962155945084, -58.388326958579 -34.5962188156631, -58.3883175611894 -34.5963462800495, -58.3882536684744 -34.5963430588922))",48Q3CJ36+FMPP
-34.5961464,-58.38662669,103.7604,0.7567,"POLYGON((-58.3866796882332 -34.5961912730036, -58.3865406465914 -34.5961866551769, -58.3865429075281 -34.5961401041362, -58.3866221959264 -34.5961427374693, -58.3866252078823 -34.5960807222106, -58.3866849610026 -34.5960827067034, -58.3866796882332 -34.5961912730036))",48Q3CJ37+G8X5
