latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.5707222,-58.47781362,21.8849,0.6786,"POLYGON((-58.4777781929732 -34.5707284221084, -58.4778110821663 -34.5706923036302, -58.4778490531142 -34.5707159619939, -58.4778161639286 -34.5707520804824, -58.4777781929732 -34.5707284221084))",48Q3CGHC+PV75
-34.57087611,-58.47771577,15.1568,0.7092,"POLYGON((-58.4776873031407 -34.5708840378366, -58.4777080376599 -34.5708521116872, -58.477744224089 -34.5708681922417, -58.4777234895799 -34.5709001183969, -58.4776873031407 -34.5708840378366))",48Q3CGHC+JWVR
-34.57065899,-58.47783904,84.2286,0.8077,"POLYGON((-58.4777699996495 -34.5706722336726, -58.4778295652456 -34.5706008862794, -58.4779080757962 -34.5706457355514, -58.4778485102374 -34.5707170829828, -58.4777699996495 -34.5706722336726))",48Q3CGHC+PVMJ
-34.57110292,-58.4783566,29.3497,0.6772,"POLYGON((-58.4783123693502 -34.5711016471065, -58.4783377476549 -34.5710697906912, -58.4784008417137 -34.571104182861, -58.4783754634234 -34.5711360392887, -58.4783123693502 -34.5711016471065))",48Q3CGHC+HM2W
-34.57103861,-58.47833238,40.9812,0.7554,"POLYGON((-58.4782846879159 -34.5710447665857, -58.4783248937665 -34.5709963473403, -58.4783654396093 -34.5710193842261, -58.4783559463097 -34.5710308168638, -58.4783768111555 -34.5710426716103, -58.4783460986231 -34.5710796582363, -58.4782846879159 -34.5710447665857))",48Q3CGHC+HMMF
-34.57065269,-58.477979,89.5355,0.7922,"POLYGON((-58.4779226658782 -34.5706983459221, -58.4779630678608 -34.5706507717433, -58.4779263973633 -34.5706294629659, -58.4779640030737 -34.5705851814201, -58.4780471005942 -34.5706334683283, -58.4779690929403 -34.5707253240923, -58.4779226658782 -34.5706983459221))",48Q3CGHC+PRJW
-34.57075529,-58.47766957,16.2651,0.671,"POLYGON((-58.4776443299317 -34.5707703106024, -58.4776500956108 -34.5707352239946, -58.4776948018494 -34.5707402507284, -58.4776890361881 -34.5707753373378, -58.4776443299317 -34.5707703106024))",48Q3CGHC+MWWP
-34.57099539,-58.47764799,41.6231,0.8185,"POLYGON((-58.4775979892188 -34.5709983637958, -58.4776353898425 -34.5709552565024, -58.4776979874437 -34.5709924179234, -58.4776605868376 -34.5710355252356, -58.4775979892188 -34.5709983637958))",48Q3CGHC+JW53
-34.57094254,-58.47842544,170.2758,0.7446,"POLYGON((-58.4783283404446 -34.5709663979531, -58.478413644899 -34.5708593182198, -58.4785225446104 -34.5709186787847, -58.4784372402407 -34.5710257585911, -58.4783283404446 -34.5709663979531))",48Q3CGHC+JJG7
-34.57053518,-58.47770135,37.1193,0.7612,"POLYGON((-58.4776536857801 -34.5705576625741, -58.4777138796967 -34.5704910082597, -58.4777489870224 -34.5705127019542, -58.4776887931194 -34.5705793562855, -58.4776536857801 -34.5705576625741))",48Q3CGHC+QWMG
-34.57063026,-58.47762258,16.3023,0.6568,"POLYGON((-58.4776529931023 -34.5706243149328, -58.4776255017063 -34.5706560011627, -58.4775921475258 -34.570636200156, -58.4776196389282 -34.5706045139337, -58.4776529931023 -34.5706243149328))",48Q3CGHC+PXRJ
-34.57058042,-58.47842175,13.2127,0.7279,"POLYGON((-58.478390168551 -34.5705754700744, -58.4784057287738 -34.5705573624805, -58.4784533410973 -34.5705853577995, -58.4784377808801 -34.5706034653992, -58.478390168551 -34.5705754700744))",48Q3CGHC+QJ8P
-34.57073087,-58.47813112,33.2568,0.6924,"POLYGON((-58.4780866880811 -34.5707536169799, -58.47814192768 -34.5706885709969, -58.4781755528004 -34.5707081100395, -58.4781203132158 -34.5707731560367, -58.4780866880811 -34.5707536169799))",48Q3CGHC+PP5Q
