latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.57216916,-58.47955577,57.419,0.7083,"POLYGON((-58.4794921438802 -34.5721601454282, -58.4795280903707 -34.5721209207681, -58.4796194026969 -34.5721781767405, -58.4795834562268 -34.5722174014267, -58.4794921438802 -34.5721601454282))",48Q3CGHC+45P6
-34.56910592,-58.47921673,29.0929,0.6858,"POLYGON((-58.4792210834666 -34.5690687082475, -58.4792570920188 -34.569089097009, -58.4792123773079 -34.5691431341057, -58.4791763687416 -34.5691227453312, -58.4792210834666 -34.5690687082475))",48Q3CGJC+983J
-34.57145278,-58.47875133,44.374,0.7688,"POLYGON((-58.4787013258147 -34.5714693455408, -58.4787541002253 -34.5714082871783, -58.4788013370256 -34.5714362229355, -58.478748562633 -34.5714972813177, -58.4787013258147 -34.5714693455408))",48Q3CGHC+CF9X
-34.56964304,-58.47896273,37.6115,0.707,"POLYGON((-58.4789168205117 -34.5696560287902, -58.4789623577606 -34.5696029064855, -58.4790086318996 -34.5696300489362, -58.4789630946662 -34.5696831712572, -58.4789168205117 -34.5696560287902))",48Q3CGJC+4CV6
-34.57129235,-58.47980498,17.9762,0.6747,"POLYGON((-58.47978642667 -34.5712691118022, -58.4798251837983 -34.571270067525, -58.4798235434343 -34.571315583804, -58.4797847862832 -34.5713146280812, -58.47978642667 -34.5712691118022))",48Q3CGHC+F3P6
-34.57021034,-58.47986183,56.6215,0.7188,"POLYGON((-58.4798037253066 -34.5702109420906, -58.4798555685178 -34.5701625529153, -58.4799199400481 -34.5702097431687, -58.4798680968468 -34.5702581323702, -58.4798037253066 -34.5702109420906))",48Q3CGHC+W36F
-34.56985632,-58.48015577,22.0982,0.7188,"POLYGON((-58.4801210567178 -34.5698650142466, -58.4801475600151 -34.5698271099599, -58.4801904680676 -34.5698476390157, -58.4801639647837 -34.5698855433114, -58.4801210567178 -34.5698650142466))",48Q3CGJ9+3W5J
-34.57111159,-58.47964925,56.1772,0.8333,"POLYGON((-58.4795935718289 -34.571127221798, -58.4796457187651 -34.5710630317399, -58.4797049374931 -34.5710959491302, -58.4796527905839 -34.5711601392127, -58.4795935718289 -34.571127221798))",48Q3CGHC+H45C
-34.57274006,-58.47630043,9.6898,0.67,"POLYGON((-58.476276358225 -34.5727442743417, -58.4762881306972 -34.5727224433386, -58.4763244928674 -34.5727358596143, -58.4763127204034 -34.5727576906205, -58.476276358225 -34.5727442743417))",48Q3CGGF+WF47
-34.56917953,-58.47612925,52.1605,0.8412,"POLYGON((-58.4760742721956 -34.5691866408575, -58.476121712653 -34.5691339140314, -58.4761842403367 -34.5691724099995, -58.4761367998987 -34.569225136849, -58.4760742721956 -34.5691866408575))",48Q3CGJF+8GHX
-34.57102478,-58.47921412,83.3443,0.81,"POLYGON((-58.4791367881319 -34.5710183614504, -58.4791761408258 -34.570968697263, -58.4792914388875 -34.5710312086552, -58.4792520862358 -34.571080872878, -58.4791367881319 -34.5710183614504))",48Q3CGHC+H8V2
-34.57067179,-58.47882022,15.7216,0.7157,"POLYGON((-58.4787919346699 -34.5706815584716, -58.4788117678172 -34.5706474167814, -58.4788485123705 -34.5706620220516, -58.4788286792354 -34.5706961637473, -58.4787919346699 -34.5706815584716))",48Q3CGHC+PFM5
-34.57101871,-58.475896,64.2208,0.7988,"POLYGON((-58.4759017366338 -34.5709635271932, -58.4759557513985 -34.5709937165019, -58.4758902603946 -34.571073893094, -58.4758362455994 -34.5710437037576, -58.4759017366338 -34.5709635271932))",48Q3CGHF+HJX7
-34.57287192,-58.47855258,57.9854,0.8612,"POLYGON((-58.4784938829654 -34.5728769356434, -58.4785377998094 -34.5728246697009, -58.4786112770803 -34.5728669124387, -58.4785673602619 -34.5729191784065, -58.4784938829654 -34.5728769356434))",48Q3CGGC+VH43
-34.5700329,-58.47938228,185.7425,0.6788,"POLYGON((-58.4792799 -34.570038, -58.4793734 -34.5699231, -58.4794143 -34.5699459, -58.4793898 -34.5699759, -58.4794233 -34.5699946, -58.4794017 -34.5700211, -58.4794878 -34.570069, -58.4794403 -34.5701273, -58.4792799 -34.570038))",48Q3CGHC+X6QQ
-34.57035246,-58.47799996,72.8429,0.7384,"POLYGON((-58.4779354203813 -34.5703649399081, -58.4779963784845 -34.5702977185813, -58.47806448864 -34.5703399805286, -58.4780035305633 -34.5704072018882, -58.4779354203813 -34.5703649399081))",48Q3CGHC+VR2R
-34.57292203,-58.47810241,25.3561,0.6949,"POLYGON((-58.4780620692966 -34.5729239486312, -58.4780846354632 -34.5728920107084, -58.4781427622032 -34.5729201111607, -58.4781201960527 -34.5729520490941, -58.4780620692966 -34.5729239486312))",48Q3CGGC+RQJ4
-34.57159358,-58.48028165,22.4705,0.7043,"POLYGON((-58.4802887172891 -34.5715592346132, -58.4803175368116 -34.5715753232792, -58.4802746066557 -34.57162794072, -58.4802457871225 -34.5716118520443, -58.4802887172891 -34.5715592346132))",48Q3CGH9+9V89
-34.56966159,-58.47813936,120.0961,0.6708,"POLYGON((-58.4780564148999 -34.5696753854385, -58.4781154061965 -34.5695944681647, -58.4782223055309 -34.5696477945429, -58.4781633143041 -34.5697287118659, -58.4780564148999 -34.5696753854385))",48Q3CGJC+4PQG
-34.57269913,-58.47827306,49.9032,0.7237,"POLYGON((-58.478243033791 -34.572728411096, -58.478265443575 -34.572703930603, -58.478219753871 -34.5726753135603, -58.4782444235013 -34.5726483644032, -58.4783267480502 -34.572699927082, -58.4782796686535 -34.5727513567544, -58.478243033791 -34.572728411096))",48Q3CGGC+WMH3
-34.56913281,-58.47969662,278.3865,0.7561,"POLYGON((-58.4796059070391 -34.569195486222, -58.4796404933761 -34.569149979079, -58.4796180124003 -34.5691382876864, -58.4796357268786 -34.5691149797607, -58.4795973789188 -34.5690950366138, -58.4796533695703 -34.5690213665397, -58.4798166076781 -34.569106259579, -58.4797083163629 -34.5692487448387, -58.4796059070391 -34.569195486222))",48Q3CGJC+84VP
-34.57309072,-58.47736481,86.6143,0.773,"POLYGON((-58.4772846821869 -34.573151122651, -58.4774049090016 -34.5730074035723, -58.4774449385181 -34.5730303149744, -58.477324711744 -34.5731740340924, -58.4772846821869 -34.573151122651))",48Q3CGGF+Q367
-34.57292412,-58.47613972,11.2435,0.6767,"POLYGON((-58.476115651946 -34.5729321509631, -58.4761334358347 -34.5729032863729, -58.4761638081677 -34.5729160897865, -58.4761460242872 -34.572944954381, -58.476115651946 -34.5729321509631))",48Q3CGGF+RGQ4
-34.57094869,-58.47755252,49.8011,0.8269,"POLYGON((-58.4775785776127 -34.5708990768765, -58.4776128158018 -34.5709277424055, -58.4775264647686 -34.5709983132845, -58.4774922265785 -34.5709696477314, -58.4775785776127 -34.5708990768765))",48Q3CGHC+JXG3
-34.57277404,-58.47583115,54.3969,0.8693,"POLYGON((-58.4757703000922 -34.5727703621568, -58.4758047595397 -34.572728535604, -58.4758919911707 -34.5727777076103, -58.4758575317486 -34.5728195341871, -58.4757703000922 -34.5727703621568))",48Q3CGGF+VMV3
-34.56969201,-58.4770345,24.7566,0.6678,"POLYGON((-58.4770037182301 -34.5697110944556, -58.4770151261019 -34.5696645283311, -58.4770652842427 -34.5696729363941, -58.4770538763997 -34.5697195025233, -58.4770037182301 -34.5697110944556))",48Q3CGJF+45G9
-34.56952626,-58.48013269,29.3388,0.7584,"POLYGON((-58.4800892951898 -34.569521367869, -58.480119872706 -34.5694916143291, -58.4801760932941 -34.5695311492627, -58.4801455157842 -34.5695609028162, -58.4800892951898 -34.569521367869))",48Q3CGJ9+5WQX
-34.57027196,-58.48007487,148.4498,0.7933,"POLYGON((-58.4799822267654 -34.5703173868945, -58.4800933732828 -34.5701842043732, -58.4801675187457 -34.5702265440201, -58.4800563722954 -34.5703597266066, -58.4799822267654 -34.5703173868945))",48Q3CGH9+VXV4
-34.56908378,-58.47890197,40.9733,0.7626,"POLYGON((-58.4788548237206 -34.5691049756362, -58.4789055410474 -34.5690394860014, -58.478949110772 -34.5690625744802, -58.4788983934654 -34.5691280641317, -58.4788548237206 -34.5691049756362))",48Q3CGJC+9C9J
-34.56955133,-58.47579753,33.2233,0.7352,"POLYGON((-58.4757343064729 -34.569543696955, -58.4757395848258 -34.5695367791322, -58.4757637634682 -34.5695494027212, -58.4757879166119 -34.5695177475191, -58.4758440777862 -34.5695470690451, -58.4758146463069 -34.5695856420838, -58.4757343064729 -34.569543696955))",48Q3CGJF+5MGV
-34.5707222,-58.47781362,21.8849,0.6786,"POLYGON((-58.4777781929732 -34.5707284221084, -58.4778110821663 -34.5706923036302, -58.4778490531142 -34.5707159619939, -58.4778161639286 -34.5707520804824, -58.4777781929732 -34.5707284221084))",48Q3CGHC+PV75
